County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Acadia Parish, LA",8001,"Denver-Aurora-Lakewood, CO",CO,Region 8," 62,045 ",0.0%, 438 , 340 ,10.3%,11.3%,,,,,,
"Ada County, ID",12001,"Gainesville, FL",FL,Region 4," 481,587 ",0.2%, 371 , 393 ,18.8%,22.1%,,,,,,
"Adair County, IA",6001,"San Francisco-Oakland-Berkeley, CA",CA,Region 9," 7,152 ",0.0%, 517 , 951 ,10.3%,15.1%,,,,,,
"Adair County, KY",42003,"Pittsburgh, PA",PA,Region 3," 19,202 ",0.0%, 323 , 391 ,6.8%,9.6%,,,,,,
"Adair County, MO",45007,"Greenville-Anderson, SC",SC,Region 4," 25,343 ",0.0%, 276 , 687 ,12.3%,16.3%,,,,,,
"Adair County, OK",24003,"Baltimore-Columbia-Towson, MD",MD,Region 3," 22,194 ",0.0%, 401 , 428 ,14.1%,13.9%,,,,,,
"Adams County, CO",27003,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Region 5," 517,421 ",0.3%, 597 , 798 ,13.6%,15.5%,,,,,,
"Adams County, IA",8005,"Denver-Aurora-Lakewood, CO",CO,Region 8," 3,602 ",0.0%, 500 , 611 ,17.7%,29.6%,,,,,,
"Adams County, IL",1003,"Daphne-Fairhope-Foley, AL",AL,Region 4," 65,435 ",0.0%, 613 ," 1,268 ",4.9%,18.7%,,,,,,
"Adams County, IN",24005,"Baltimore-Columbia-Towson, MD",MD,Region 3," 35,777 ",0.0%," 1,255 "," 1,084 ",10.7%,23.0%,,,,,,
"Adams County, MS",5007,"Fayetteville-Springdale-Rogers, AR",AR,Region 6," 30,693 ",0.0%, 267 , 235 ,23.2%,27.9%,,,,,,
"Adams County, ND",48029,"San Antonio-New Braunfels, TX",TX,Region 6," 2,216 ",0.0%, 632 ," 1,083 ",6.6%,13.4%,,,,,,
"Adams County, NE",29019,"Columbia, MO",MO,Region 7," 31,363 ",0.0%, 466 , 657 ,16.3%,26.7%,,,,,,
"Adams County, OH",8013,"Boulder, CO",CO,Region 8," 27,698 ",0.0%, 531 , 708 ,12.1%,14.2%,,,,,,
"Adams County, WA",48041,"College Station-Bryan, TX",TX,Region 6," 19,983 ",0.0%, 465 , 846 ,14.3%,24.1%,,,,,,
"Adams County, WI",12009,"Palm Bay-Melbourne-Titusville, FL",FL,Region 4," 20,220 ",0.0%, 406 , 653 ,15.4%,17.8%,,,,,,
"Aguada, PR",38015,"Bismarck, ND",ND,Region 8," 41,959 ",0.0%, 155 , 91 ,0.0%,14.3%,,,,,,
"Aguadilla, PR",39017,"Cincinnati, OH-KY-IN",OH,Region 5," 60,949 ",0.0%, 79 , 103 ,6.2%,15.0%,,,,,,
"Aguas Buenas, PR",48061,"Brownsville-Harlingen, TX",TX,Region 6," 28,659 ",0.0%, 91 , 91 ,16.7%,17.1%,,,,,,
"Aibonito, PR",38017,"Fargo, ND-MN",ND,Region 8," 25,900 ",0.0%, 151 , 93 ,,14.3%,,,,,,
"Aiken County, SC",42027,"State College, PA",PA,Region 3," 170,872 ",0.0%, 172 , 203 ,17.6%,15.4%,,,,,,
"Aitkin County, MN",17019,"Champaign-Urbana, IL",IL,Region 5," 15,886 ",0.0%, 875 ," 1,026 ",22.2%,21.7%,,,,,,
"Alamosa County, CO",40027,"Oklahoma City, OK",OK,Region 6," 16,233 ",0.0%, 517 , 363 ,6.1%,13.3%,,,,,,
"Albany County, WY",48085,"Dallas-Fort Worth-Arlington, TX",TX,Region 6," 38,880 ",0.0%, 584 ," 1,325 ",9.5%,11.2%,,,,,,
"Alcona County, MI",6013,"San Francisco-Oakland-Berkeley, CA",CA,Region 9," 10,405 ",0.0%, 471 , 471 ,12.8%,12.5%,,,,,,
"Alcorn County, MS",17031,"Chicago-Naperville-Elgin, IL-IN-WI",IL,Region 5," 36,953 ",0.0%, 249 , 363 ,18.3%,19.9%,,,,,,
"Aleutians East Borough, AK",37049,"New Bern, NC",NC,Region 4," 3,337 ",0.0%, 509 , 30 ,15.6%,,,,,,,
"Alexander County, IL",39035,"Cleveland-Elyria, OH",OH,Region 5," 5,761 ",0.0%, 208 , 538 ,9.4%,24.3%,,,,,,
"Alexander County, NC",27037,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Region 5," 37,497 ",0.0%, 459 , 400 ,16.8%,17.9%,,,,,,
"Alfalfa County, OK",55025,"Madison, WI",WI,Region 5," 5,702 ",0.0%," 1,719 "," 1,789 ",45.1%,57.6%,,,,,,
"Alger County, MI",47037,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,Region 4," 9,108 ",0.0%, 307 , 406 ,2.4%,6.2%,,,,,,
"Allamakee County, IA",49011,"Ogden-Clearfield, UT",UT,Region 8," 13,687 ",0.0%, 760 , 782 ,21.7%,19.2%,,,,,,
"Allegan County, MI",13089,"Atlanta-Sandy Springs-Alpharetta, GA",GA,Region 4," 118,081 ",0.1%, 442 , 639 ,15.2%,17.8%,,,,,,
"Allegany County, MD",48121,"Dallas-Fort Worth-Arlington, TX",TX,Region 6," 70,416 ",0.1%," 1,059 ", 915 ,14.8%,15.1%,,,,,,
"Allegany County, NY",8031,"Denver-Aurora-Lakewood, CO",CO,Region 8," 46,091 ",0.0%, 412 , 410 ,16.6%,14.3%,,,,,,
"Alleghany County, VA",31055,"Omaha-Council Bluffs, NE-IA",NE,Region 7," 14,860 ",0.0%, 303 , 128 ,6.8%,18.5%,,,,,,
"Allen County, IN",17043,"Chicago-Naperville-Elgin, IL-IN-WI",IL,Region 5," 379,299 ",0.2%, 621 , 781 ,18.4%,19.9%,,,,,,
"Allen County, KS",12031,"Jacksonville, FL",FL,Region 4," 12,369 ",0.0%, 404 , 574 ,16.5%,16.1%,,,,,,
"Allen County, OH",48141,"El Paso, TX",TX,Region 6," 102,351 ",0.1%, 822 , 788 ,22.2%,24.6%,,,,,,
"Alpena County, MI",51059,"Washington-Arlington-Alexandria, DC-VA-MD-WV",VA,Region 3," 28,405 ",0.0%, 651 , 461 ,11.8%,7.5%,,,,,,
"Alpine County, CA",9001,"Bridgeport-Stamford-Norwalk, CT",CT,Region 1," 1,129 ",0.0%," 1,860 ", -   ,,,,,,,,
"Amite County, MS",6019,"Fresno, CA",CA,Region 9," 12,297 ",0.0%, 301 , 130 ,12.2%,19.0%,,,,,,
"Anchorage Municipality, AK",29077,"Springfield, MO",MO,Region 7," 288,000 ",0.2%, 780 , 913 ,7.1%,10.6%,,,,,,
"Anderson County, KS",45045,"Greenville-Anderson, SC",SC,Region 4," 7,858 ",0.0%, 407 , 471 ,17.9%,17.9%,,,,,,
"Anderson County, SC",37081,"Greensboro-High Point, NC",NC,Region 4," 202,558 ",0.0%, 239 , 264 ,18.2%,19.3%,,,,,,
"Anderson County, TN",13135,"Atlanta-Sandy Springs-Alpharetta, GA",GA,Region 4," 76,978 ",0.0%, 385 , 395 ,11.1%,11.0%,,,,,,
"Anderson County, TX",13139,"Gainesville, GA",GA,Region 4," 57,735 ",0.0%, 85 , 104 ,9.7%,15.9%,,,,,,
"Andrew County, MO",39061,"Cincinnati, OH-KY-IN",OH,Region 5," 17,712 ",0.0%, 497 , 570 ,27.2%,35.6%,,,,,,
"Andrews County, TX",47065,"Chattanooga, TN-GA",TN,Region 4," 18,705 ",0.0%, 219 , 850 ,27.7%,28.3%,,,,,,
"Angelina County, TX",9003,"Hartford-East Hartford-Middletown, CT",CT,Region 1," 86,715 ",0.0%, 83 , 106 ,10.7%,13.5%,,,,,,
"Anoka County, MN",48215,"McAllen-Edinburg-Mission, TX",TX,Region 6," 356,921 ",0.3%, 781 ," 1,032 ",13.5%,20.6%,,,,,,
"Antelope County, NE",15003,"Urban Honolulu, HI",HI,Region 9," 6,298 ",0.0%, 524 , 762 ,33.8%,43.0%,,,,,,
"Antrim County, MI",26065,"Lansing-East Lansing, MI",MI,Region 5," 23,324 ",0.0%, 382 , 317 ,9.8%,8.2%,,,,,,
"Apache County, AZ",37097,"Charlotte-Concord-Gastonia, NC-SC",NC,Region 4," 71,887 ",0.0%, 641 , 449 ,10.6%,10.6%,,,,,,
"Appanoose County, IA",29095,"Kansas City, MO-KS",MO,Region 7," 12,426 ",0.0%, 692 ," 1,384 ",24.5%,26.7%,,,,,,
"Appling County, GA",29097,"Joplin, MO",MO,Region 7," 18,386 ",0.0%, 65 , 87 ,13.6%,9.2%,,,,,,
"Aransas County, TX",21111,"Louisville/Jefferson County, KY-IN",KY,Region 4," 23,510 ",0.0%, 132 , 30 ,16.0%,10.0%,,,,,,
"Arapahoe County, CO",29099,"St. Louis, MO-IL",MO,Region 7," 656,590 ",0.3%, 456 , 590 ,10.6%,12.6%,,,,,,
"Archer County, TX",20091,"Kansas City, MO-KS",KS,Region 7," 8,553 ",0.0%, 234 , 257 ,24.1%,39.8%,,,,,,
"Archuleta County, CO",54039,"Charleston, WV",WV,Region 3," 14,029 ",0.0%, 613 , 207 ,8.6%,8.9%,,,,,,
